누적관객수,영화코드,영화이름
408425,20189843,호두까기 인형과 4개의 왕국
87501,20182082,부탁 하나만 들어줘
262070,20178825,모털 엔진
180709,20183745,런닝맨 : 풀룰루의 역습
5270621,20177538,완벽한 타인
1567264,20184481,성난황소
276658,20181905,후드
2403686,20176814,신비한 동물들과 그린델왈드의 범죄
78439,20183073,베일리 어게인
229837,20181171,바울
25172,20183007,거미줄에 걸린 소녀
20419,20182966,투 프렌즈
298402,20183050,번 더 스테이지: 더 무비
71407,20182935,출국
24325,20182669,툴리
48910,20186822,너의 췌장을 먹고 싶어
445625,20170513,동네사람들
15745,20189869,해피 투게더
1588443,20174981,창궐
259733,20010291,해리포터와 마법사의 돌
55997,20179006,여곡성
211233,20181404,벽 속에 숨은 마법시계
458917,20180523,스타 이즈 본
21400,20182693,구스범스: 몬스터의 역습
90492,20180987,할로윈
3777611,20179189,암수살인
710780,20189067,미쓰백
147806,20182403,크레이지 리치 아시안
630470,20186321,퍼스트맨
3851409,20177221,베놈
486038,20189123,곰돌이 푸 다시 만나 행복해
5413370,20176122,안시성
29890,20184678,배반의 장미
25631,20187521,펭귄 하이웨이
12152,20180628,액슬
34822,20180770,다이노 어드벤처2: 육해공 공룡 대백과
83846,20189462,셜록 놈즈
1953273,20177308,협상
21620,20188661,에브리데이
2066465,20172204,명당
439910,20167903,원더풀 고스트
1007366,20189262,더 넌
2944333,20185046,서치
151054,20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활
89501,20189268,루이스
42980,20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티
35688,20189746,극장판 뽀잉: 슈퍼 변신의 비밀
702096,20156554,물괴
2812226,20153446,너의 결혼식
169814,20188581,더 프레데터
178153,20189362,업그레이드
760945,20177537,상류사회
2280120,20181942,맘마미아!2
12264813,20186202,신과함께-인과 연
4968325,20179101,공작
2512159,20170670,목격자
41977,20189261,어드리프트:우리가 함께한 바다
258016,20187647,나를 차버린 스파이
6567099,20181181,미션 임파서블: 폴아웃
3262924,20139221,그래비티
1023630,20184802,몬스터 호텔 3
515536,20183584,메가로돈
51350,20187657,마일22
138640,20187641,극장판 도라에몽: 진구의 보물섬
377257,20187427,명탐정 코난 : 제로의 집행인
854230,20186501,극장판 헬로카봇 : 백악기 시대
2998015,20183361,인크레더블 2
667879,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴
123887,20186121,어느 가족
891308,20170942,인랑
5444801,20180522,앤트맨과 와스프
3188405,20185341,마녀
